tag,numberOfMovies
In Netflix queue,131
atmospheric,32
religion,22
superhero,22
Disney,22
surreal,21
quirky,21
funny,21
crime,19
psychology,19
thought-provoking,19
suspense,18
politics,18
visually appealing,17
sci-fi,17
dark comedy,16
twist ending,15
dark,15
mental illness,15
comedy,15
music,14
aliens,14
mindfuck,14
time travel,13
heist,13
emotional,13
anime,12
space,12
Stephen King,12
action,12
disturbing,12
journalism,12
black comedy,12
high school,12
Shakespeare,12
satire,12
court,12
Holocaust,11
adolescence,11
adultery,11
imdb top 250,11
boxing,11
dreamlike,11
philosophical,10
animation,10
India,10
psychological,10
classic,10
comic book,10
cinematography,10
England,10
Australia,10
Vietnam,10
remake,10
tense,9
Mafia,9
Leonardo DiCaprio,9
sexuality,9
World War II,9
bittersweet,9
military,9
robots,9
stylized,9
ghosts,9
creepy,9
racism,9
drugs,9
sequel,8
race,8
murder,8
bad,8
revenge,8
Christmas,8
divorce,8
adventure,8
heartwarming,8
serial killer,8
martial arts,8
spoof,8
movie business,8
intelligent,7
social commentary,7
prostitution,7
gritty,7
family,7
predictable,7
assassination,7
violence,7
police,7
Coen Brothers,7
Animal movie,7
disability,7
clever,7
romance,7
television,6
cerebral,6
fantasy,6
pregnancy,6
men in drag,6
dark humor,6
wedding,6
hallucinatory,6
future,6
death,6
kidnapping,6
Nick and Nora Charles,6
Astaire and Rogers,6
cult film,6
gothic,6
witty,6
twins,6
touching,6
business,6
Bible,6
New York,6
remade,6
Magic,5
Jason,5
philosophy,5
marriage,5
Hepburn and Tracy,5
Africa,5
terrorism,5
Judaism,5
mystery,5
death penalty,5
Atmospheric,5
Al Pacino,5
post-apocalyptic,5
fun,5
Dickens,5
Civil War,5
stylish,5
artificial intelligence,5
zombies,5
great soundtrack,5
dystopia,5
Ireland,5
corruption,5
gambling,5
organized crime,5
humorous,5
lawyers,5
existentialism,5
amnesia,5
baseball,5
poignant,5
Adam Sandler,5
black and white,5
sports,5
biopic,5
Brad Pitt,5
swashbuckler,5
alcoholism,5
space opera,5
paranoia,5
cross dressing,5
Quentin Tarantino,5
thriller,5
sarcasm,5
based on a book,5
inspirational,5
friendship,5
beautiful,5
homeless,4
survival,4
parody,4
depressing,4
prison,4
circus,4
Samuel L. Jackson,4
visually stunning,4
true story,4
christmas,4
samurai,4
heartbreaking,4
fatherhood,4
King Arthur,4
sad,4
John Grisham,4
Wizards,4
immigrants,4
basketball,4
horror,4
Aardman,4
Ryan Reynolds,4
bad plot,4
birds,4
Tom Hanks,4
blindness,4
melancholy,4
screwball,4
based on a TV show,4
Post apocalyptic,4
dogs,4
generation X,4
Jane Austen,4
movies,4
hit men,4
Will Ferrell,4
weird,4
president,4
enigmatic,4
Tolkein,4
Seth Rogen,4
intense,4
interesting,4
Martin Scorsese,4
loneliness,4
violent,4
unique,4
plot holes,4
good dialogue,4
feel-good,4
Oscar (Best Actress),4
Comedy,4
soundtrack,4
demons,4
Action,4
show business,4
Christian Bale,4
controversial,4
horses,4
1970s,3
mafia,3
Hollywood,3
good soundtrack,3
priest,3
great acting,3
Shakespeare sort of,3
High School,3
Tim Burton,3
Pixar,3
nightclub,3
Liam Neeson,3
based on a true story,3
assassin,3
Cold War,3
orphans,3
hitman,3
crude humor,3
love story,3
Clousseau,3
hilarious,3
Ben Stiller,3
evil children,3
inspiring,3
boring,3
masterpiece,3
overrated,3
off-beat comedy,3
obsession,3
transplants,3
food,3
dance,3
motherhood,3
british comedy,3
photography,3
blind,3
archaeology,3
06 Oscar Nominated Best Movie - Animation,3
nonlinear,3
ensemble cast,3
gangsters,3
Robin Williams,3
mathematics,3
paranoid,3
books,3
slasher,3
football,3
Screwball,3
golf,3
Rachel Weisz,3
moving,3
Steve Carell,3
writing,3
Steve Buscemi,3
NASA,3
drama,3
multiple storylines,3
psychedelic,3
claustrophobic,3
Robert De Niro,3
sweet,3
class,3
spying,3
Michael Cera,3
artistic,3
Rome,3
Beautiful,3
child abuse,3
Highly quotable,3
Tennessee Williams,3
Girl Power,3
children,3
fantasy world,3
anti-Semitism,3
irreverent,3
brutality,3
Christopher Nolan,3
Japan,3
smart,3
mockumentary,3
whimsical,3
terminal illness,3
silly,3
bloody,3
alternate reality,3
Alfred Hitchcock,3
memory,3
lyrical,2
freaks,2
art,2
romantic,2
scary,2
George Bernard Shaw,2
Nick Hornby,2
morality,2
bleak,2
Capote,2
college,2
trippy,2
